hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,scrape_timestamp
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-20,2025-12-22,2,2,1,52,sold_out,,,,False,,,,2025-10-29T16:09:49.029111
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-22,2025-12-24,2,2,1,54,sold_out,,,,False,,,,2025-10-29T16:09:55.275143
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-24,2025-12-26,2,2,1,56,sold_out,,,,False,,,,2025-10-29T16:10:01.487970
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-26,2025-12-28,2,2,1,58,sold_out,,,,False,,,,2025-10-29T16:10:07.904059
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-28,2025-12-30,2,2,1,60,sold_out,,,,False,,,,2025-10-29T16:10:14.476205
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-30,2026-01-01,2,2,1,62,sold_out,,,,False,,,,2025-10-29T16:10:20.530649
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-01,2026-01-03,2,2,1,64,sold_out,,,,False,,,,2025-10-29T16:10:26.632082
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-03,2026-01-05,2,2,1,66,sold_out,,,,False,,,,2025-10-29T16:10:32.755875
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-05,2026-01-07,2,2,1,68,sold_out,,,,False,,,,2025-10-29T16:10:39.356531
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-07,2026-01-09,2,2,1,70,sold_out,,,,False,,,,2025-10-29T16:10:45.425316
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-09,2026-01-11,2,2,1,72,sold_out,,,,False,,,,2025-10-29T16:10:51.936830
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-11,2026-01-13,2,2,1,74,sold_out,,,,False,,,,2025-10-29T16:10:58.187883
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-13,2026-01-15,2,2,1,76,sold_out,,,,False,,,,2025-10-29T16:11:04.896468
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-15,2026-01-17,2,2,1,78,sold_out,,,,False,,,,2025-10-29T16:11:11.657851
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-17,2026-01-19,2,2,1,80,sold_out,,,,False,,,,2025-10-29T16:11:17.847506
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-19,2026-01-21,2,2,1,82,sold_out,,,,False,,,,2025-10-29T16:11:24.303724
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-21,2026-01-23,2,2,1,84,sold_out,,,,False,,,,2025-10-29T16:11:30.290602
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-23,2026-01-25,2,2,1,86,available,86131.0,106335.0,43065.5,True,19.0,,,2025-10-29T16:11:36.369574
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-25,2026-01-27,2,2,1,88,sold_out,,,,False,,,,2025-10-29T16:11:43.688273
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2026-01-27,2026-01-29,2,2,1,90,available,86131.0,106335.0,43065.5,True,19.0,,,2025-10-29T16:11:49.912995
Simbavati River Lodge,timbavati-river-lodge,2025-10-29,2025-10-31,2,2,1,0,sold_out,,,,False,,,,2025-10-29T16:12:00.979092
Simbavati River Lodge,timbavati-river-lodge,2025-10-31,2025-11-02,2,2,1,2,sold_out,68750.0,,34375.0,False,,,,2025-10-29T16:12:07.030415
Simbavati River Lodge,timbavati-river-lodge,2025-11-02,2025-11-04,2,2,1,4,sold_out,,,,False,,,,2025-10-29T16:12:13.632180
Simbavati River Lodge,timbavati-river-lodge,2025-11-04,2025-11-06,2,2,1,6,sold_out,,,,False,,,,2025-10-29T16:12:20.230573
Simbavati River Lodge,timbavati-river-lodge,2025-11-06,2025-11-08,2,2,1,8,sold_out,,,,False,,,,2025-10-29T16:12:26.568395
Simbavati River Lodge,timbavati-river-lodge,2025-11-08,2025-11-10,2,2,1,10,sold_out,,,,False,,,,2025-10-29T16:12:35.152768
Simbavati River Lodge,timbavati-river-lodge,2025-11-10,2025-11-12,2,2,1,12,sold_out,50000.0,,25000.0,False,,,,2025-10-29T16:12:41.702102
Simbavati River Lodge,timbavati-river-lodge,2025-11-12,2025-11-14,2,2,1,14,sold_out,,,,False,,,,2025-10-29T16:12:48.668376
Simbavati River Lodge,timbavati-river-lodge,2025-11-14,2025-11-16,2,2,1,16,sold_out,,,,False,,,,2025-10-29T16:12:54.738627
Simbavati River Lodge,timbavati-river-lodge,2025-11-16,2025-11-18,2,2,1,18,sold_out,,,,False,,,,2025-10-29T16:13:05.229717
Simbavati River Lodge,timbavati-river-lodge,2025-11-18,2025-11-20,2,2,1,20,sold_out,,,,False,,,,2025-10-29T16:13:11.311297
Simbavati River Lodge,timbavati-river-lodge,2025-11-20,2025-11-22,2,2,1,22,sold_out,,,,False,,,,2025-10-29T16:13:17.312721
Simbavati River Lodge,timbavati-river-lodge,2025-11-22,2025-11-24,2,2,1,24,sold_out,,,,False,,,,2025-10-29T16:13:24.482080
Simbavati River Lodge,timbavati-river-lodge,2025-11-24,2025-11-26,2,2,1,26,sold_out,,,,False,,,,2025-10-29T16:13:30.585080
Simbavati River Lodge,timbavati-river-lodge,2025-11-26,2025-11-28,2,2,1,28,sold_out,,,,False,,,,2025-10-29T16:13:36.772669
Simbavati River Lodge,timbavati-river-lodge,2025-11-28,2025-11-30,2,2,1,30,sold_out,50000.0,,25000.0,False,,,,2025-10-29T16:13:42.684711
Simbavati River Lodge,timbavati-river-lodge,2025-11-30,2025-12-02,2,2,1,32,sold_out,68750.0,,34375.0,False,,,,2025-10-29T16:13:48.913662
Simbavati River Lodge,timbavati-river-lodge,2025-12-02,2025-12-04,2,2,1,34,sold_out,68750.0,,34375.0,False,,,,2025-10-29T16:13:54.601312
Simbavati River Lodge,timbavati-river-lodge,2025-12-04,2025-12-06,2,2,1,36,sold_out,,,,False,,,,2025-10-29T16:14:00.810158
Simbavati River Lodge,timbavati-river-lodge,2025-12-06,2025-12-08,2,2,1,38,sold_out,50000.0,,25000.0,False,,,,2025-10-29T16:14:07.228131
Simbavati River Lodge,timbavati-river-lodge,2025-12-08,2025-12-10,2,2,1,40,sold_out,,,,False,,,,2025-10-29T16:14:13.710794
Simbavati River Lodge,timbavati-river-lodge,2025-12-10,2025-12-12,2,2,1,42,sold_out,50000.0,,25000.0,False,,,,2025-10-29T16:14:19.728493
Simbavati River Lodge,timbavati-river-lodge,2025-12-12,2025-12-14,2,2,1,44,sold_out,,,,False,,,,2025-10-29T16:14:26.123909
Simbavati River Lodge,timbavati-river-lodge,2025-12-14,2025-12-16,2,2,1,46,sold_out,,,,False,,,,2025-10-29T16:14:32.345959
Simbavati River Lodge,timbavati-river-lodge,2025-12-16,2025-12-18,2,2,1,48,sold_out,,,,False,,,,2025-10-29T16:14:38.866404
Simbavati River Lodge,timbavati-river-lodge,2025-12-18,2025-12-20,2,2,1,50,sold_out,50000.0,,25000.0,False,,,,2025-10-29T16:14:44.458000
Simbavati River Lodge,timbavati-river-lodge,2025-12-20,2025-12-22,2,2,1,52,sold_out,52500.0,,26250.0,False,,,,2025-10-29T16:14:50.448481
Simbavati River Lodge,timbavati-river-lodge,2025-12-22,2025-12-24,2,2,1,54,sold_out,,,,False,,,,2025-10-29T16:14:56.555033
Simbavati River Lodge,timbavati-river-lodge,2025-12-24,2025-12-26,2,2,1,56,sold_out,,,,False,,,,2025-10-29T16:15:02.816401
Simbavati River Lodge,timbavati-river-lodge,2025-12-26,2025-12-28,2,2,1,58,sold_out,,,,False,,,,2025-10-29T16:15:08.560588
Simbavati River Lodge,timbavati-river-lodge,2025-12-28,2025-12-30,2,2,1,60,sold_out,,,,False,,,,2025-10-29T16:15:14.581201
Simbavati River Lodge,timbavati-river-lodge,2025-12-30,2026-01-01,2,2,1,62,sold_out,,,,False,,,,2025-10-29T16:15:20.422528
Simbavati River Lodge,timbavati-river-lodge,2026-01-01,2026-01-03,2,2,1,64,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:15:27.128792
Simbavati River Lodge,timbavati-river-lodge,2026-01-03,2026-01-05,2,2,1,66,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:15:51.194671
Simbavati River Lodge,timbavati-river-lodge,2026-01-05,2026-01-07,2,2,1,68,sold_out,,,,False,,,,2025-10-29T16:15:57.569015
Simbavati River Lodge,timbavati-river-lodge,2026-01-07,2026-01-09,2,2,1,70,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:16:04.215173
Simbavati River Lodge,timbavati-river-lodge,2026-01-09,2026-01-11,2,2,1,72,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:16:11.290365
Simbavati River Lodge,timbavati-river-lodge,2026-01-11,2026-01-13,2,2,1,74,sold_out,,,,False,,,,2025-10-29T16:16:16.965760
Simbavati River Lodge,timbavati-river-lodge,2026-01-13,2026-01-15,2,2,1,76,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:16:22.662578
Simbavati River Lodge,timbavati-river-lodge,2026-01-15,2026-01-17,2,2,1,78,sold_out,,,,False,,,,2025-10-29T16:16:28.647857
Simbavati River Lodge,timbavati-river-lodge,2026-01-17,2026-01-19,2,2,1,80,sold_out,,,,False,,,,2025-10-29T16:16:34.625945
Simbavati River Lodge,timbavati-river-lodge,2026-01-19,2026-01-21,2,2,1,82,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:16:41.124773
Simbavati River Lodge,timbavati-river-lodge,2026-01-21,2026-01-23,2,2,1,84,sold_out,,,,False,,,,2025-10-29T16:16:49.005555
Simbavati River Lodge,timbavati-river-lodge,2026-01-23,2026-01-25,2,2,1,86,sold_out,,,,False,,,,2025-10-29T16:16:56.258505
Simbavati River Lodge,timbavati-river-lodge,2026-01-25,2026-01-27,2,2,1,88,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:17:10.441068
Simbavati River Lodge,timbavati-river-lodge,2026-01-27,2026-01-29,2,2,1,90,sold_out,55000.0,,27500.0,False,,,,2025-10-29T16:17:16.882679
Thornybush Game Lodge,thornybush-game-lodge,2025-10-29,2025-10-31,2,2,1,0,sold_out,,,,False,,,,2025-10-29T16:17:26.757361
