id,variety,puc,block,area,description,geometry
190,Valencia Late,Essex,L89,1.51,VAL 7 (Duikerland),"POLYGON ((30.74541586230085 -24.354862746805612, 30.74536031815178 -24.35483808977173, 30.745252463910933 -24.354786773367053, 30.744494909538645 -24.354422638515057, 30.744486683101645 -24.35441731807535, 30.744480654567656 -24.354410624618474, 30.744478833448017 -24.354404789296737, 30.744479398623074 -24.354393976788383, 30.74448784485038 -24.354374010809313, 30.744512618357227 -24.354324925380453, 30.74454546130801 -24.35426308231143, 30.744725814949764 -24.353934243911628, 30.744944757488735 -24.353551513487794, 30.74498620365989 -24.35348406367122, 30.745004540450765 -24.35345883434467, 30.74501810465223 -24.353450596181588, 30.745034934309615 -24.353444188721415, 30.745154384549426 -24.353441962100174, 30.745212245682474 -24.353436246694848, 30.745296423221873 -24.353423705345115, 30.745328629407986 -24.353414976565702, 30.74535321045346 -24.3534057461323, 30.745394747403772 -24.3533867836115, 30.745416117863716 -24.353375847554535, 30.745438692293234 -24.35336200190443, 30.74545494588249 -24.35334986187789, 30.745481132220725 -24.353327287448373, 30.745502122253743 -24.35330398892025, 30.745538906014545 -24.353256667765397, 30.745702049780135 -24.353027845938083, 30.745733872595267 -24.35298564678622, 30.74574824803405 -24.352969177595416, 30.74576752678336 -24.352956362624788, 30.745819774077905 -24.35291471396054, 30.74583377785998 -24.352901612936062, 30.74584922597831 -24.35288393513112, 30.74586096906014 -24.352867573147364, 30.745894252304286 -24.352811563917143, 30.745914977528148 -24.352769168811804, 30.746000063277474 -24.35258215798538, 30.74602262257931 -24.352542406459925, 30.746038570133614 -24.352521330149205, 30.746077598813972 -24.35248661569315, 30.74609355141083 -24.352476381951767, 30.746106393752957 -24.352470562765493, 30.74612896818247 -24.352463338948045, 30.746141910855396 -24.35246133233209, 30.74615816444465 -24.352462536301665, 30.74617231108715 -24.352466549533577, 30.74619849742539 -24.35247738525974, 30.746219165569748 -24.352489725947876, 30.746254983664585 -24.35251591228612, 30.74641360665599 -24.3526476466237, 30.74646517668609 -24.352696006068268, 30.746514549972023 -24.35275744039747, 30.746534631931674 -24.352786684481003, 30.746553779313977 -24.35281884284575, 30.746556583309626 -24.352827355023116, 30.746557557584886 -24.352839608507814, 30.746551862495437 -24.35287499621164, 30.746547962703442 -24.352889100003924, 30.746532703855213 -24.352925220132036, 30.746505185957904 -24.352977608600767, 30.74642074640125 -24.35311737718082, 30.746324411025462 -24.353284776771815, 30.74573601710466 -24.354354536502022, 30.745600524817913 -24.35459931661394, 30.74549537325872 -24.354785218655607, 30.745455612946817 -24.354850275279816, 30.74543357111943 -24.354863032849597, 30.745423963143388 -24.35486423423517, 30.74541586230085 -24.354862746805612))"
80,Valencia Late,Essex,L90,1.64,VAL 7 (Duikerland),"POLYGON ((30.744886396702885 -24.348952297275545, 30.74496269177303 -24.34904318692367, 30.744988909970523 -24.349071187339522, 30.74507364789116 -24.34937003817166, 30.74477038737604 -24.34945573666631, 30.74458004075234 -24.34942974833266, 30.744333961227895 -24.349301656483465, 30.7446687028287 -24.34872226336194, 30.744886396702885 -24.348952297275545))"
81,Valencia Late,Essex,L91,1.74,VAL 7 (Duikerland),"POLYGON ((30.799366178830912 -24.33870396719636, 30.799495780838505 -24.33867087732208, 30.7996744293231 -24.338620730379034, 30.80010067833898 -24.338504765573244, 30.800185301305365 -24.338492228837485, 30.80020724059295 -24.33847342373384, 30.800194703857187 -24.33845775281414, 30.800166496201726 -24.338448350262322, 30.800150825282024 -24.338448350262322, 30.799398621136355 -24.338626998746918, 30.799332056052855 -24.338650771991023, 30.79909707069012 -24.338284444999687, 30.7994134843413 -24.33814273827247, 30.79975434271571 -24.338033288335737, 30.800239061004646 -24.337926963033645, 30.800676837773587 -24.3379050741952, 30.801139659465942 -24.33794260027836, 30.801570056571148 -24.338032683393404, 30.801276975870074 -24.338925881720495, 30.800880146334872 -24.338866508235373, 30.80045473319847 -24.338879020386443, 30.800135614851413 -24.338907176164255, 30.799753791912476 -24.3390229527331, 30.799621052702026 -24.33910129908669, 30.799366178830912 -24.33870396719636))"
82,Valencia Late,Essex,L92,1.99,VAL 7 (Duikerland),"POLYGON ((30.81150572222692 -24.33800271443375, 30.811576492836316 -24.338024451884394, 30.811686189274226 -24.338036988620157, 30.811773946424555 -24.338049525355917, 30.811886777046407 -24.33807459882744, 30.812297355142583 -24.338171758529587, 30.81236317300533 -24.338171758529587, 30.81243305222627 -24.338180493432205, 30.81200598086862 -24.339539075504735, 30.81110305151414 -24.339305665195415, 30.81150572222692 -24.33800271443375))"
83,Valencia Late,Essex,L93,1.74,VAL 7 (Duikerland),"POLYGON ((30.82255839898147 -24.336908429757848, 30.823002047652373 -24.335616575738687, 30.82418214760051 -24.33489272181266, 30.82357933639422 -24.336749334435293, 30.823182961762022 -24.336852973673984, 30.82255839898147 -24.336908429757848))"
84,Valencia Late,Essex,L94,2.23,VAL 7 (Duikerland),"POLYGON ((30.802841350784146 -24.336940029591567, 30.8020741733385 -24.336729767330553, 30.8027177152075 -24.33475346066934, 30.803651970118487 -24.334988089426588, 30.802841350784146 -24.336940029591567))"
85,Valencia Late,Essex,23,1.63,VAL 10,
86,Valencia Late,Essex,24,1.78,VAL 10,
87,Valencia Late,Essex,25,1.78,VAL 10,"POLYGON ((30.81388765012732 -24.333559854881944, 30.81480437313226 -24.333830090688387, 30.814224852882738 -24.335747620925787, 30.813281645843382 -24.335487651118537, 30.81388765012732 -24.333559854881944))"
88,Valencia Late,Essex,26,1.43,VAL 10,"POLYGON ((30.839069466520506 -24.35559455181372, 30.839098919149205 -24.356454826331174, 30.83814066444341 -24.35652229487087, 30.838118666755864 -24.355627527451432, 30.839069466520506 -24.35559455181372))"
89,Valencia Late,Essex,27,1.54,VAL 10,"POLYGON ((30.799628838782603 -24.34709928220136, 30.798730808251083 -24.346843247964717, 30.799399047105492 -24.344842485477553, 30.800289120362752 -24.34511157739254, 30.799628838782603 -24.34709928220136))"
90,Valencia Late,Essex,42,1.82,VAL 10,"POLYGON ((30.803174848657914 -24.348144373222308, 30.80250130892523 -24.350167027283614, 30.801541084746372 -24.34990009237675, 30.80222264340124 -24.34785196373404, 30.803174848657914 -24.348144373222308))"
91,Valencia Late,Essex,43,1.63,VAL 10,"POLYGON ((30.818343567149842 -24.341111929017625, 30.817716454151626 -24.343086837427, 30.817291434688695 -24.343251787547256, 30.816782329656508 -24.343404519056914, 30.8164110297751 -24.34354744341789, 30.816949343199244 -24.34191738335643, 30.818343567149842 -24.341111929017625))"
92,Turkey,Essex,L61,1.17,LAVELLE,"POLYGON ((30.74760286999721 -24.355930831145134, 30.747620955599164 -24.355932890645597, 30.747661397014653 -24.35594970987405, 30.747764635659163 -24.35599810805894, 30.748318444421887 -24.356270076101598, 30.748418480407718 -24.356321906773672, 30.748454651611635 -24.3563433026517, 30.74846312923755 -24.356355659613715, 30.748468592596474 -24.356368874691153, 30.748484229106506 -24.356428428334503, 30.748506082542203 -24.356530258762007, 30.74851154590113 -24.3565711625488, 30.748509850375946 -24.35658403436103, 30.748504261422568 -24.35660182606334, 30.748490194843264 -24.35662854221629, 30.747613733917824 -24.35818069661624, 30.747251331109148 -24.35881867475985, 30.747195253183634 -24.35891432567486, 30.747177355973363 -24.358931258945617, 30.747168878347445 -24.358934691365704, 30.747147213303425 -24.358933776055355, 30.74710400880986 -24.358915755824178, 30.746839255692315 -24.358793733106683, 30.746239165371808 -24.35851067242378, 30.746192946611252 -24.358487617956676, 30.746172035133988 -24.358474746338047, 30.746163243521924 -24.35846730940231, 30.746157780162996 -24.35845787021372, 30.746157466176854 -24.358449575168475, 30.74616198757734 -24.35843412922133, 30.746387555223983 -24.35802921269883, 30.747109723357717 -24.356750561706313, 30.747503587578134 -24.356057260608278, 30.747564375295827 -24.355953314022322, 30.747576243972105 -24.35594044214594, 30.747583528450672 -24.355934950145382, 30.747593513210084 -24.35593134602008, 30.74760286999721 -24.355930831145134))"
93,Turkey,Essex,L67,1.55,LAVELLE,"POLYGON ((30.816497262246244 -24.337975791689516, 30.816431343759824 -24.337968036573468, 30.816312244770092 -24.337949231469825, 30.816117925365795 -24.337924157998305, 30.81596121616878 -24.337930426366185, 30.81560391919959 -24.338030720252274, 30.815482900799573 -24.338069873264043, 30.816014337954172 -24.33640270348066, 30.816883041608293 -24.336652604531842, 30.816497262246244 -24.337975791689516))"
94,Midknight,Essex,L63,1.72,MKN 3,"POLYGON ((30.810219686309264 -24.338967741878133, 30.810635050178266 -24.33768175078619, 30.81150378532193 -24.33800220827391, 30.81110111304565 -24.339305164094718, 30.810219686309264 -24.338967741878133))"
95,Midknight,Essex,L64,0.5,MKN 3,"POLYGON ((30.837963768069784 -24.35459398594598, 30.837991455326907 -24.355556126679392, 30.83707207945596 -24.35558065217091, 30.837047740150915 -24.354619013744664, 30.837963768069784 -24.35459398594598))"
96,Midknight,Essex,L65,2.04,MKN 3,"POLYGON ((30.81090329695785 -24.34578897404294, 30.811520573416537 -24.343942375823303, 30.811656308350894 -24.343921857751827, 30.81241811116013 -24.343971812034397, 30.811680663807888 -24.345996667476154, 30.81090329695785 -24.34578897404294))"
97,Star Ruby,Essex,L58A,1.02,STR 4,"POLYGON ((30.84019566576504 -24.35620408010469, 30.840516792203143 -24.356102547480884, 30.840691522765052 -24.35637172699517, 30.84089602125324 -24.356546191147945, 30.840898129848394 -24.35747914096186, 30.840224000450764 -24.35747914096186, 30.84019566576504 -24.35620408010469))"
98,Star Ruby,Essex,L59,1.6,STR 4,"POLYGON ((30.82835837278229 -24.346130820904076, 30.829263537015947 -24.348235407394355, 30.82859382787569 -24.34848699005586, 30.827658594242937 -24.346388803775724, 30.82835837278229 -24.346130820904076))"
99,Star Ruby,Essex,L62,1.85,STR 4,"POLYGON ((30.802298994308284 -24.33906107374873, 30.80141745839257 -24.33879919487837, 30.80207476925952 -24.33683115169094, 30.80294542630048 -24.3371150615956, 30.802298994308284 -24.33906107374873))"
100,Valencia Late,Essex,L46,1.35,VAL 4,"POLYGON ((30.739815212565837 -24.364907760258642, 30.739816357020274 -24.36493364539751, 30.739812225818888 -24.36495113947663, 30.739806196497938 -24.364963954904887, 30.738700932645337 -24.36692368019549, 30.738539815791178 -24.367206227206474, 30.738481923144693 -24.36730483383519, 30.738469362059387 -24.367318106710336, 30.73846115548366 -24.36732359893458, 30.738449096841766 -24.36732680273216, 30.738437205681016 -24.367326650170547, 30.738413590840644 -24.367322988688134, 30.738366919430362 -24.36730417270696, 30.738250520039884 -24.36725138624584, 30.737777609134977 -24.36702752689088, 30.7376320680266 -24.366957755186196, 30.737521028032518 -24.366903137973075, 30.737481502484098 -24.36688188098923, 30.737473965832912 -24.36687272725081, 30.73746899722584 -24.366859912015656, 30.737471062826533 -24.366840384035896, 30.737524656790498 -24.366741675331582, 30.737894455141827 -24.366084888366363, 30.73874347285423 -24.364587322338057, 30.73880197959822 -24.36448495196202, 30.738815043126937 -24.364463897963766, 30.738831232970217 -24.36444467474712, 30.73885227976648 -24.36443307978877, 30.73886054216926 -24.364430994730345, 30.738871763405463 -24.364431147295583, 30.73890230079951 -24.364440352065653, 30.738944561873176 -24.364459575260085, 30.73976499613815 -24.364856854501053, 30.739792128082406 -24.364872721233336, 30.739806280238515 -24.36488538410473, 30.739810327699335 -24.364890927288823, 30.739815212565837 -24.364907760258642))"
101,Valencia Late,Essex,L47,1.05,VAL 4,"POLYGON ((30.730603581604605 -24.35352302334693, 30.730594287614707 -24.35351455635024, 30.730589703416992 -24.3535074623796, 30.730589232437776 -24.353503800975044, 30.73059064537543 -24.353497450726096, 30.730600535938994 -24.353476111600266, 30.73147191028888 -24.35191917348767, 30.73249668948291 -24.35006810230889, 30.732543096635162 -24.349990954762692, 30.73256187300664 -24.34997934107233, 30.73257072741593 -24.34997745313257, 30.732593271621152 -24.34998025643737, 30.732627967090185 -24.349994787835747, 30.73336430442167 -24.350623310686522, 30.73337491715337 -24.35063827113842, 30.73337623589518 -24.350645050539455, 30.733371777291914 -24.3506617272924, 30.733334852521253 -24.350718937388162, 30.732625633611594 -24.351996134649905, 30.732606576869685 -24.35200313508574, 30.732586742301567 -24.35200235725951, 30.732522571640022 -24.351982133778325, 30.73244401119376 -24.351960354644707, 30.732331918340307 -24.35212933661624, 30.732308086791896 -24.35215559603981, 30.732288933637047 -24.352172759056813, 30.732255305720905 -24.352197988684246, 30.732215335284636 -24.352232600748465, 30.732088359287552 -24.352370505422012, 30.73205341262961 -24.352414328236144, 30.7320047133785 -24.352484582014263, 30.731960504129272 -24.35254121980895, 30.731868129405385 -24.352640822166272, 30.731730289487682 -24.352806272890454, 30.731694118283766 -24.352846262507246, 30.731572480051152 -24.35296760431139, 30.731449146293357 -24.353081108278925, 30.731417182503787 -24.353108111226547, 30.73137611311601 -24.353139690935365, 30.73133962792595 -24.353165320835785, 30.73123312382553 -24.353234372803502, 30.73118715625388 -24.35326028873692, 30.731148661552492 -24.353279739984, 30.73084164589982 -24.353420589807268, 30.730736837324578 -24.353470934145495, 30.730715549063945 -24.353477656256924, 30.730685280799555 -24.35347705555765, 30.730678121915446 -24.353477999513625, 30.73066217141928 -24.353483463016453, 30.730649988756852 -24.353491844200484, 30.730624493081866 -24.353520077060885, 30.73061011251642 -24.35352491125833, 30.730603581604605 -24.35352302334693))"
102,Valencia Late,Essex,L48,0.23,VAL 4,"POLYGON ((30.827869228127458 -24.336768653153023, 30.82762600620348 -24.335718549392094, 30.82828673970966 -24.335362023222565, 30.828424925361254 -24.33529929420967, 30.828524019019305 -24.335305658022573, 30.828586748032198 -24.33536475057095, 30.828829254759576 -24.336321368017604, 30.828771071327328 -24.33642682548856, 30.827869228127458 -24.336768653153023))"
103,Valencia Late,Essex,L49,1.79,VAL 4,"POLYGON ((30.82835837278229 -24.346130820904076, 30.829263537015947 -24.348235407394355, 30.82859382787569 -24.34848699005586, 30.827658594242937 -24.346388803775724, 30.82835837278229 -24.346130820904076))"
104,Valencia Late,Essex,L50,1.09,VAL 4,"POLYGON ((30.830499063108512 -24.35194586544622, 30.83165595511982 -24.351447009882754, 30.831690000928347 -24.35154054997291, 30.831669464744277 -24.352015788504012, 30.831578349793805 -24.352570071119377, 30.83092601192301 -24.352812801489904, 30.830499063108512 -24.35194586544622))"
105,Valencia Late,Essex,L54,1.78,VAL 4,"POLYGON ((30.812174745632554 -24.341868089684453, 30.813053812429324 -24.342093491427214, 30.812485132922813 -24.343665114790646, 30.812456996124464 -24.343669604705276, 30.811592708313874 -24.343614201640495, 30.812174745632554 -24.341868089684453))"
106,Valencia Late,Essex,L55,1.4,VAL 4,"POLYGON ((30.80893560308146 -24.34283676025493, 30.80912865550256 -24.34276975484075, 30.809331345550113 -24.342853695749408, 30.809709044899535 -24.343055131733138, 30.809423247044347 -24.34394548979201, 30.809257423927534 -24.34404620931735, 30.80911895190693 -24.34412190573516, 30.808888171973422 -24.34425647231364, 30.80866650726357 -24.344508838286888, 30.80854656282332 -24.34456769138701, 30.808336531026676 -24.3447091286299, 30.80868653916073 -24.343500712500553, 30.80893560308146 -24.34283676025493))"
107,Valencia Late,Essex,L56,0.76,VAL 4,"POLYGON ((30.73603237065497 -24.35083509532129, 30.736049891081862 -24.35083818469634, 30.73607582633745 -24.35084796771006, 30.73613611167731 -24.35087422737617, 30.736894890595554 -24.351214801813985, 30.736951973276735 -24.351242262854175, 30.736974580279185 -24.351255707318497, 30.736985318605342 -24.351268579671267, 30.736989840005833 -24.351276417503104, 30.73699266588114 -24.351287058645834, 30.736992854272827 -24.35129695605189, 30.73699059357258 -24.35131600712732, 30.73694041858659 -24.351411490580343, 30.736792154328874 -24.351678889863983, 30.736595222218668 -24.352029071883695, 30.735803977133006 -24.353425909572714, 30.735750285502196 -24.353517502635917, 30.735734083817103 -24.35353266313619, 30.735719012482143 -24.353539242220947, 30.73570544828067 -24.353541816645162, 30.735663625326147 -24.353524939832617, 30.735551720664034 -24.353471734970764, 30.735084886063497 -24.35323774800377, 30.734828547774637 -24.35310668096747, 30.734786976009026 -24.353083739937688, 30.734773976982616 -24.353072669873114, 30.734768262434777 -24.35306646262729, 30.73476411781766 -24.353058910954378, 30.73476348984537 -24.353040947124505, 30.73481228329232 -24.352949296514964, 30.734958098458108 -24.35268592964051, 30.73515233028747 -24.3523386354593, 30.735589210609767 -24.351560119790115, 30.735935286138904 -24.350948886538685, 30.735990108119843 -24.350856663733374, 30.73600423749637 -24.35084379133872, 30.736012463933374 -24.350838413538323, 30.736023013867847 -24.350835152531786, 30.73603237065497 -24.35083509532129))"
108,Valencia Late,Essex,L57,1.79,VAL 4,"POLYGON ((30.732609011113517 -24.349870920567305, 30.73261579321425 -24.349852899074097, 30.732671667849182 -24.349751296473066, 30.733520448003123 -24.348245798144568, 30.73389514947949 -24.34758738704111, 30.733952688748253 -24.347490534228637, 30.733963216275107 -24.347483199759687, 30.733969546552697 -24.34748044149788, 30.733978009858603 -24.34747950118139, 30.73400064748172 -24.34748520576855, 30.734026519051 -24.34749655224597, 30.734419890757266 -24.347686778101775, 30.734482023807953 -24.34771903092397, 30.73450706968885 -24.347734013280622, 30.73452571648479 -24.34775382257547, 30.734529638504597 -24.347762473468983, 30.73453053300035 -24.347769776577742, 30.73452929446778 -24.34778303501051, 30.734513232977065 -24.34781787043298, 30.73446628703747 -24.34790911826761, 30.734200001337076 -24.34840801325817, 30.734120733394366 -24.348561545724554, 30.734029117660597 -24.348765867071098, 30.733974453270356 -24.34889706463782, 30.73396273330567 -24.34893004098225, 30.733938278941043 -24.349009935333775, 30.733922666710612 -24.34907417064833, 30.73391732833505 -24.349103954844523, 30.733904960858503 -24.34918790640013, 30.733897255467355 -24.34925264632621, 30.733886665051138 -24.349368269647897, 30.733877218572538 -24.34950923950046, 30.733865009376665 -24.34961451288098, 30.733854570046553 -24.349674933113292, 30.73381922309351 -24.349854666427987, 30.73381260662664 -24.34988132678138, 30.733801304382588 -24.349915353660833, 30.73378908377605 -24.349945404773205, 30.73373169182925 -24.350069671437247, 30.733598275613524 -24.35033696439868, 30.733531332257886 -24.350467122676005, 30.733493929257158 -24.350545907370645, 30.733480657714445 -24.350564541190266, 30.733464351839807 -24.350577952250667, 30.733451736726643 -24.35058228848858, 30.733441518832926 -24.350582570576645, 30.733433502774893 -24.350580313871596, 30.733419672494506 -24.35057326166838, 30.733353032561403 -24.350527782789896, 30.733236197655465 -24.350438016020433, 30.7331273100002 -24.350346744667213, 30.732843135644075 -24.350098168068676, 30.732776151859362 -24.3500414873111, 30.732651048060113 -24.3499434197616, 30.732629128326202 -24.34992423017783, 30.732618995872926 -24.349913199553278, 30.732610518247007 -24.349899297263384, 30.732607503980017 -24.349891116079746, 30.732606938804956 -24.34988047481872, 30.732609011113517 -24.349870920567305))"
109,Valencia Late,Essex,L60,1.9,VAL 4,"POLYGON ((30.742979690898416 -24.357068957480653, 30.743001167550737 -24.357073076444504, 30.743045565191657 -24.35709109688475, 30.743157281462082 -24.357141039241633, 30.743612749764168 -24.357351964169634, 30.74386375028856 -24.357470784630383, 30.743905636040317 -24.35749246635328, 30.743921460942026 -24.357504823203094, 30.74392774066493 -24.357513404347436, 30.743930754931917 -24.35752679093065, 30.743929498987338 -24.357540520758327, 30.7439227168866 -24.357568323658146, 30.743868648472418 -24.3576718113816, 30.743713225330595 -24.357954471652143, 30.74304876785033 -24.3591422622914, 30.742685862663823 -24.35978772971026, 30.742629282360475 -24.359886411854582, 30.74261684850913 -24.35990340220135, 30.742609061652733 -24.35991106787967, 30.74259813493488 -24.35991707456785, 30.742587710594865 -24.35991942003651, 30.74256736429266 -24.35992044975429, 30.742522024693308 -24.359903917034906, 30.742406352197452 -24.359853289158966, 30.74193223311835 -24.359632528739514, 30.741673382940334 -24.35950970607903, 30.741632313552557 -24.359488825648956, 30.74162157522639 -24.359480073017682, 30.741611967250346 -24.359467544740195, 30.741606692283106 -24.35944798003058, 30.741658437199817 -24.359348668227366, 30.741816497825262 -24.359063604337344, 30.742505195035932 -24.35784548950678, 30.74288122484331 -24.35718531732325, 30.74293924948293 -24.35708669190667, 30.742950552984148 -24.357075364756962, 30.742957963057176 -24.357070788130855, 30.742968889775025 -24.35706838540224, 30.742979690898416 -24.357068957480653))"
110,Delta,Essex,L07,1.88,DEL 1,"POLYGON ((30.808094729722765 -24.336274383569734, 30.80895242267924 -24.33652418303349, 30.808365894854532 -24.338450071637467, 30.80744196027271 -24.338204014282486, 30.808094729722765 -24.336274383569734))"
111,Delta,Essex,L08,1.87,DEL 1,"POLYGON ((30.74550434359644 -24.35494587120761, 30.745516777447783 -24.35494844560322, 30.745558725996773 -24.354966552156778, 30.745672137792383 -24.355018297421836, 30.746147010438236 -24.355239094376266, 30.746406990966385 -24.35536240770769, 30.746448437137538 -24.355383946772747, 30.746459740638763 -24.355394244319225, 30.746464827214314 -24.355400422846678, 30.74646878343974 -24.355408660882556, 30.7464708557483 -24.355430628976073, 30.74641411845188 -24.35553603479381, 30.746243341387554 -24.355837835685858, 30.746015450243437 -24.356235431354868, 30.745273375388095 -24.357523069184328, 30.74509873629419 -24.35782203821282, 30.74503684962499 -24.35792366821249, 30.7450258287113 -24.357929589182998, 30.74501838723966 -24.357931734462177, 30.74499568604137 -24.357930962161735, 30.74497279645139 -24.357926585792303, 30.744928022027096 -24.35790853681747, 30.7448165883442 -24.357858766262382, 30.744115739869724 -24.35753231144486, 30.74407485887363 -24.357512317404005, 30.74405460676727 -24.35749812991043, 30.744050367954312 -24.35749057850161, 30.74404942599588 -24.35748342754585, 30.744050838933532 -24.357469526087378, 30.744107984411944 -24.357363662338035, 30.744278007909514 -24.357059972548473, 30.74450423492706 -24.35665968664855, 30.74501289248212 -24.35576251873834, 30.745413036425436 -24.35506128894756, 30.745474075332048 -24.35495817109692, 30.74549015142268 -24.354947301427202, 30.74550434359644 -24.35494587120761))"
112,Delta,Essex,L09,1.85,DEL 1,"POLYGON ((30.81772434232402 -24.35010108135051, 30.8167149453467 -24.352703731793667, 30.816291012832725 -24.352889202268532, 30.81622855848915 -24.35282107025736, 30.81602605501149 -24.351212397771302, 30.816128253028253 -24.35092472927968, 30.8163591448439 -24.350799820592528, 30.816495408866242 -24.350504581877434, 30.81772434232402 -24.35010108135051))"
113,Delta,Essex,L10,1.87,DEL 1,"POLYGON ((30.803402980216656 -24.3416410578901, 30.802506363392922 -24.341369133115688, 30.803177909153792 -24.339324260360442, 30.804081532528624 -24.33959270077723, 30.803402980216656 -24.3416410578901))"
114,Delta,Essex,L19,1.94,DEL 1,"POLYGON ((30.82255839898147 -24.336908429757848, 30.823002047652373 -24.335616575738687, 30.82418214760051 -24.33489272181266, 30.82357933639422 -24.336749334435293, 30.823182961762022 -24.336852973673984, 30.82255839898147 -24.336908429757848))"
115,Delta,Essex,L20,1.82,DEL 1,"POLYGON ((30.815735541370803 -24.334104584726962, 30.816658109793135 -24.33437654367232, 30.816059836436096 -24.33625338509077, 30.815156582570733 -24.336004427307934, 30.815735541370803 -24.334104584726962))"
116,Delta,Essex,L18,1.77,DEL 1,"POLYGON ((30.83488784546742 -24.350302477521, 30.83589118510451 -24.35027156528382, 30.835890336521874 -24.35123938413569, 30.834895311559468 -24.351267270078775, 30.83488784546742 -24.350302477521))"
117,Benny,Essex,10,1.74,BEN,"POLYGON ((30.736709787791877 -24.366566459474075, 30.737196579275622 -24.366791574840352, 30.737312969337857 -24.3668476996925, 30.73735615738843 -24.366870931058138, 30.7373751185172 -24.3668922271924, 30.737379305545637 -24.366901838616094, 30.73738049688706 -24.3669101307661, 30.737379883882888 -24.366925395792414, 30.737360881462727 -24.366965184437234, 30.737304487206416 -24.367069285345373, 30.736984719221233 -24.367632622080052, 30.736924658345863 -24.367733342885437, 30.736900767100295 -24.367768624726583, 30.73688235236527 -24.36777533054962, 30.736873559605563 -24.367774949146526, 30.736850941461924 -24.367766463442358, 30.73683670283522 -24.36775337935816, 30.7368087523729 -24.367720396032908, 30.736632819733956 -24.36748933173706, 30.736532749754375 -24.36736939286779, 30.73650478040443 -24.367333388298864, 30.73644588287112 -24.36725059808921, 30.736426957502598 -24.367221560482474, 30.736407362209523 -24.367187539177266, 30.73639362875626 -24.36715987460866, 30.736361193242658 -24.367083085063953, 30.736350306968724 -24.367048606032313, 30.736342993625726 -24.367018958123662, 30.736325017316982 -24.366934845508336, 30.736315303411015 -24.366900366439616, 30.736279462447612 -24.366796217214777, 30.736272093277567 -24.36676311116822, 30.736268297038453 -24.366735293943425, 30.736262937642053 -24.366660589166912, 30.736262937642056 -24.366637857348678, 30.73626829703845 -24.366606480306785, 30.73628638500129 -24.366567881943283, 30.736351339769072 -24.366460376063003, 30.73636532444404 -24.366440390342348, 30.736372749441134 -24.366432279088425, 30.73638103975743 -24.366427931047305, 30.736391122287912 -24.36642531541846, 30.736403855580928 -24.366427322390756, 30.736709787791877 -24.366566459474075))"
118,Benny,Essex,8,1.79,LAVELLE,
119,Benny,Essex,9,1.79,LAVELLE,
120,Marsh,Essex,L01,0.97,MARSH 1,"POLYGON ((30.815380599075596 -24.338396362354313, 30.815390794691645 -24.33843502998057, 30.815409599795284 -24.33846323763603, 30.815434673266807 -24.338472640187852, 30.815833957448334 -24.33829601072965, 30.816113708734505 -24.338213356940557, 30.816329880182916 -24.338175209037896, 30.81584667341589 -24.33970748312806, 30.814921792787917 -24.3402928228036, 30.81478552839214 -24.34025759799381, 30.815378977685118 -24.33839589013116, 30.815380599075596 -24.338396362354313))"
121,Marsh,Essex,L02,1.85,MARSH 1,"POLYGON ((30.820621606891603 -24.339795887220188, 30.819738775307698 -24.342637225044125, 30.819371492391618 -24.34282450296668, 30.81882602271428 -24.342999053263426, 30.81867510943688 -24.34305541846342, 30.819523058871344 -24.340430527206774, 30.820621606891603 -24.339795887220188))"
122,Marsh,Essex,L03,1.85,MARSH 1,"POLYGON ((30.812435069450657 -24.33818074558525, 30.812438393419896 -24.33818116108141, 30.812538687305985 -24.338231308024454, 30.812620176088434 -24.3382971258872, 30.813200000117387 -24.33842249324481, 30.81325014706043 -24.338419359060868, 30.813306562371356 -24.338378614669644, 30.8133723802341 -24.338309662622958, 30.813459323790305 -24.338280621599285, 30.813001236257044 -24.339796352407866, 30.81200791979861 -24.339539576724736, 30.812435069450657 -24.33818074558525))"
123,Marsh,Essex,L04,1.85,MARSH 1,"POLYGON ((30.83511843367887 -24.35557899113414, 30.834501382480987 -24.355584653784323, 30.834504164284688 -24.355404734333227, 30.834652445261227 -24.355145963086077, 30.83505184014085 -24.3547039863352, 30.835714048893777 -24.354660701328914, 30.835756279197522 -24.3555916543982, 30.83511843367887 -24.35557899113414))"
124,Star Ruby,Essex,L11,1.87,STR 7,"POLYGON ((30.801851109253853 -24.34335798745148, 30.80096309244596 -24.34308900310718, 30.801622730354214 -24.341103236001562, 30.80250382479305 -24.34137045316744, 30.801851109253853 -24.34335798745148))"
125,Star Ruby,Essex,L12,1.78,STR 7,"POLYGON ((30.810407201251095 -24.341414873176383, 30.81120731909805 -24.34162003159868, 30.810629564643246 -24.34332315125241, 30.8105807186162 -24.343306869243396, 30.810105403246485 -24.342906603668897, 30.8099809306662 -24.34289398074808, 30.810407201251095 -24.341414873176383))"
